# generated 2026-05-14 from ../data/cc10plus_roots_snapshot_2026-03-19.csv
# via scripts/build_known_fingerprints_exp.py (predicate: count exponent of q in (p+1) for q in [3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47, 53, 59, 61])
# variant D: freq >= 10 (drops singleton/rare-pair tail)
# augmented with pinned sieve set {2, 3, 5} (--immune-prime 5)
# format: P1[^e]*P2[^e]*... (^e omitted when e=1)
# total scanned: 1551489 CC10-99 roots
# raw unique exponent shapes: 28514
# after freq >= 10 filter: 4248 pool entries
# coverage of CC10+ data: 1501565/1551489 = 96.78%
# D_V bit-range: min=12.07 max=36.84 span=24.77 bits
2*3^2*5*11*13*19^2*23  # freq=394 bits=26.67
2*3*5^2*11^2*13^2*19  # freq=392 bits=25.80
2*3^4*5*7^2*11*13*19  # freq=392 bits=26.68
2*3*5*7*11*13*19^2*29  # freq=387 bits=28.23
2*3*5*7*11*13*17*19*41  # freq=386 bits=28.57
2*3^2*5^2*7*11*13^2*19  # freq=386 bits=26.73
2*3^2*5^3*11*13*19*29  # freq=383 bits=27.40
2*3*5*11*13*19^2*53  # freq=382 bits=26.29
2*3*5*7*11*13*19^2*23  # freq=381 bits=27.89
2*3*5*11*13*19*31*47  # freq=381 bits=26.82
2*3*5*7*11^2*13*19^2  # freq=379 bits=26.83
2*3^3*5*11*13*17*19*29  # freq=378 bits=28.43
2*3*5^2*11*13^2*19*23  # freq=377 bits=26.86
2*3^2*5*7^2*11*13*19*29  # freq=377 bits=28.37
2*3*5^3*7*11*13*17*19  # freq=374 bits=27.85
2*3*5^2*11*13*17*19^2  # freq=372 bits=26.97
2*3^2*5*11*13^2*19*37  # freq=372 bits=26.81
2*3*5*11*13*19*37*59  # freq=369 bits=27.41
2*3*5*11*13*19*37^2  # freq=369 bits=26.73
2*3*5*11*13*19*37*61  # freq=368 bits=27.45
2*3^5*5*11*13*19*29  # freq=367 bits=27.51
2*3*5*7^2*11*13*19*47  # freq=365 bits=27.48
2*3*5^3*11*13*19*43  # freq=361 bits=26.38
2*3^7*5*11*13*19  # freq=361 bits=25.82
2*3*5*7*11^2*13*19*37  # freq=358 bits=27.79
2*3*5^2*11*13^3*19  # freq=356 bits=26.04
2*3*5*7^2*11*13*19*43  # freq=355 bits=27.36
2*3^3*5*11^2*13*17*19  # freq=355 bits=27.03
2*3*5*11*13*19^2*59  # freq=354 bits=26.45
2*3*5^3*11*13*19*47  # freq=354 bits=26.51
2*3^2*5*11*13*19*23^2  # freq=354 bits=26.95
2*3*5*11^2*13*17*19*29  # freq=352 bits=28.72
2*3*5^2*11*13*17*19*37  # freq=352 bits=27.93
2*3*5*11*13*19*41*53  # freq=351 bits=27.40
2*3^2*5*11*13*19*23*41  # freq=351 bits=27.78
2*3*5*7*11*13*19*29*41  # freq=350 bits=29.34
2*3^3*5*7*11*13*19*41  # freq=348 bits=27.65
2*3^4*5*11*13*19*47  # freq=347 bits=26.62
2*3*5^2*7*11*13*19*61  # freq=346 bits=27.37
2*3^3*5*11*13  # freq=345 bits=15.24
2*3^4*5*11*13*19*43  # freq=345 bits=26.50
2*3*5*11*13*19*31*43  # freq=343 bits=26.70
2*3*5*7*11*13*19*23*37  # freq=342 bits=28.86
2*3^2*5*11*13*17*19*53  # freq=342 bits=27.72
2*3^4*5*7*11*13*17*19  # freq=341 bits=27.96
2*3*5*7*11*13*17*19*31  # freq=340 bits=28.16
2*3^2*5*11*13*19*29*47  # freq=340 bits=28.31
2*3*5^2*7*11*13*19*59  # freq=335 bits=27.33
2*3^3*5*7*11*13*19*31  # freq=335 bits=27.25
2*3*5*11*13*19^2*61  # freq=333 bits=26.49
2*3^2*5^3*11^2*13*19  # freq=333 bits=26.00
2*3^3*5^2*11*13*19*37  # freq=333 bits=27.02
2*3^3*5*11*13*17*19*23  # freq=332 bits=28.10
2*3^3*5^3*7*11*13*19  # freq=332 bits=26.94
2*3*5*7^2*11*13*19*53  # freq=330 bits=27.66
2*3^2*5*11*13^2*19^2  # freq=330 bits=25.85
2*3^2*5^3*11*13*19*23  # freq=329 bits=27.07
2*3^2*5*7*11*13  # freq=326 bits=16.46
2*3*5^2*7^3*11*13*19  # freq=324 bits=27.06
2*3*5*11*13*17*19*23*29  # freq=320 bits=29.78
2*3^2*5*11*13*19*29*31  # freq=320 bits=27.71
2*3*5*11*13*19*43*47  # freq=319 bits=27.30
2*3*5^2*11*13*19*29*37  # freq=319 bits=28.70
2*3^3*5^2*11*13*19^2  # freq=318 bits=26.05
2*3*5^2*11*13*19^2*29  # freq=317 bits=27.74
2*3*5*11*13*19*31^2  # freq=316 bits=26.22
2*3^2*5*11*13*19*29*43  # freq=316 bits=28.18
2*3^2*5*7^2*11^2*13*19  # freq=313 bits=26.97
2*3^2*5*11*13*19*29^2  # freq=311 bits=27.62
2*3*5*11*13^2*17*19*29  # freq=310 bits=28.96
2*3^2*5*7*11*13*17*19*23  # freq=310 bits=29.32
2*3*5^2*11*13*17*19*41  # freq=309 bits=28.08
